Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;15;12;18;100,0;31;31;0;15;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;20;14;26;100,0;31;31;0;20;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;20;14;26;100,0;31;31;0;20;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;15;12;18;100,0;31;31;0;15;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;36;28;44;100,0;31;31;0;36;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;19;15;23;100,0;28;28;0;19;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;26;20;32;100,0;28;28;0;26;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;26;20;32;100,0;28;28;0;26;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;19;15;23;100,0;28;28;0;19;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;45;36;54;100,0;28;28;0;45;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;23;19;27;100,0;31;31;0;23;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;29;24;34;100,0;31;31;0;29;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;29;24;34;100,0;31;31;0;29;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;23;19;27;100,0;31;31;0;23;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;52;44;60;100,0;31;31;0;52;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;24;18;30;100,0;30;30;0;24;0,0;1;-;-;-;-;-;-;-;-
